sample,0319-6G20,0319-7L14,11-24,Abditibacteriales,Absconditabacteriales (SR1),Acetobacterales,Acidiferrobacterales,Acidimicrobiales,Acidobacteriales,Actinomarinales,Alicyclobacillales,AMGG11,Anaerolineales,Aneurinibacillales,Armatimonadales,Azospirillales,B10-SB3A,B12-WMSP1,Babeliales,Bacillales,Bacteriovoracales,Bacteroidales,Bdellovibrionales,Bifidobacteriales,Blastocatellales,Blfdi19,Brevibacillales,Bryobacterales,Burkholderiales,C0119,C10-SB1A,Caedibacterales,Caldicoprobacterales,Caldilineales,Candidatus Daviesbacteria,Candidatus Kaiserbacteria,Candidatus Levybacteria,Candidatus Liptonbacteria,Candidatus Magasanikbacteria,Candidatus Nomurabacteria,Candidatus Peribacteria,Candidatus Staskawiczbacteria,Candidatus Vogelbacteria,Candidatus Woykebacteria,Candidatus Yanofskybacteria,Catenulisporales,Caulobacterales,CCD24,Chitinophagales,Chlamydiales,Chloroflexales,Chloroplast,Christensenellales,Chthoniobacterales,Chthonomonadales,Clostridia UCG-014,Clostridia vadinBB60 group,Clostridiales,Coriobacteriales,Corynebacteriales,Coxiellales,Cyanobacteriales,Cytophagales,Deferribacterales,Desulfitobacteriales,Desulfovibrionales,Diplorickettsiales,Dongiales,DS-100,EC3,Elev-1554,Elev-16S-1166,Elev-16S-976,Elsterales,Elusimicrobiales,Endomicrobiales,Enterobacterales,Entomoplasmatales,Entotheonellales,Erysipelotrichales,FCPU453,FFCH16263,Fibrobacterales,Fimbriimonadales,Flavobacteriales,Frankiales,Gaiellales,Gammaproteobacteria Incertae Sedis,Gemmatales,Gemmatimonadales,Geobacterales,GOUTB8,Group 1.1c,Halanaerobiales,Haliangiales,Holophagales,Holosporales,Hydrogenispora,IMCC26256,Isosphaerales,JG36-GS-52,JG36-TzT-191,Kallotenuales,Kapabacteriales,KF-JG30-C25,Kineosporiales,Kryptoniales,Ktedonobacterales,Lachnospirales,Lactobacillales,Latescibacterales,Legionellales,Leptolyngbyales,Leptospirales,Lineage IV,Longimicrobiales,Marine Group II,Methanobacteriales,Methanomassiliicoccales,Methylacidiphilales,Methylococcales,Micavibrionales,Micrococcales,Micromonosporales,Micropepsales,Microtrichales,mle1-27,Monoglobales,MSB-4B10,MVP-88,Myxococcales,Nannocystales,Nitrososphaerales,Nitrosotaleales,Nitrospirales,Obscuribacterales,Oligoflexales,Opitutales,Oscillospirales,Paenibacillales,Paludibaculum,Paracaedibacterales,Pedosphaerales,Peptococcales,Peptostreptococcales-Tissierellales,Phycisphaerales,Pirellulales,Planctomycetales,PLTA13,Polyangiales,Propionibacteriales,Pseudomonadales,Pseudonocardiales,Pyrinomonadales,R7C24,RBG-13-54-9,Reyranellales,Rhizobiales,Rhodobacterales,Rhodospirillales,Rickettsiales,Rokubacteriales,S-BQ2-57 soil group,S085,Saccharimonadales,Salinisphaerales,SAR202 clade,SBR1031,Silvanigrellales,SJA-15,Solibacterales,Solirubrobacterales,Sphingobacteriales,Sphingomonadales,Spirochaetales,Steroidobacterales,Streptomycetales,Streptosporangiales,Subgroup 12,Subgroup 13,Subgroup 15,Subgroup 17,Subgroup 2,Subgroup 7,Sulfobacillales,Sumerlaeales,Symbiobacteriales,Synergistales,Syntrophobacterales,Tepidisphaerales,Thalassobaculales,Thermoactinomycetales,Thermoanaerobaculales,Thermomicrobiales,Tistrellales,TSBb06,Unclassified Order in Acidimicrobiia,Unclassified Order in Acidobacteriae,Unclassified Order in Acidobacteriota,Unclassified Order in Actinobacteria,Unclassified Order in Actinobacteriota,Unclassified Order in AD3,Unclassified Order in Alphaproteobacteria,Unclassified Order in Anaerolineae,Unclassified Order in Armatimonadota,Unclassified Order in AT-s3-28,Unclassified Order in Bacilli,Unclassified Order in bacteriap25,Unclassified Order in Bacteroidia,Unclassified Order in Bathyarchaeia,Unclassified Order in BD2-11 terrestrial group,Unclassified Order in BD7-11,Unclassified Order in Bdellovibrionota,Unclassified Order in Berkelbacteria,Unclassified Order in Blastocatellia,Unclassified Order in BRH-c20a,Unclassified Order in Chloroflexi,Unclassified Order in Chloroflexia,Unclassified Order in Clostridia,Unclassified Order in Cyanobacteria,Unclassified Order in Cyanobacteriia,Unclassified Order in Desulfobacterota,Unclassified Order in Dojkabacteria,Unclassified Order in Elusimicrobiota,Unclassified Order in FCPU426,Unclassified Order in FFCH5909,Unclassified Order in Firmicutes,Unclassified Order in GAL15,Unclassified Order in Gammaproteobacteria,Unclassified Order in Gemmatimonadota,Unclassified Order in Gitt-GS-136,Unclassified Order in JG30-KF-CM66,Unclassified Order in KD4-96,Unclassified Order in Ktedonobacteria,Unclassified Order in Latescibacterota,Unclassified Order in Lineage IIa,Unclassified Order in Lineage IIb,Unclassified Order in Lineage IIc,Unclassified Order in Margulisbacteria,Unclassified Order in MB-A2-108,Unclassified Order in MBNT15,Unclassified Order in Microgenomatia,Unclassified Order in Myxococcota,Unclassified Order in NB1-j,Unclassified Order in Nitrososphaeria,Unclassified Order in Nitrospirota,Unclassified Order in OLB14,Unclassified Order in Oligoflexia,Unclassified Order in OM190,Unclassified Order in P2-11E,Unclassified Order in Parcubacteria,Unclassified Order in Patescibacteria,Unclassified Order in Pla4 lineage,Unclassified Order in Planctomycetes,Unclassified Order in Polyangia,Unclassified Order in Proteobacteria,Unclassified Order in RCP2-54,Unclassified Order in S0134 terrestrial group,Unclassified Order in SAR324 clade(Marine group B),Unclassified Order in Sericytochromatia,Unclassified Order in SHA-26,Unclassified Order in Subgroup 11,Unclassified Order in Subgroup 18,Unclassified Order in Subgroup 22,Unclassified Order in Subgroup 25,Unclassified Order in Subgroup 5,Unclassified Order in Thermoleophilia,Unclassified Order in Thermoplasmata,Unclassified Order in TK10,Unclassified Order in TX1A-33,Unclassified Order in vadinHA49,Unclassified Order in Vampirivibrionia,Unclassified Order in Verrucomicrobiae,Unclassified Order in WPS-2,Unclassified Order in WS4,Unclassified Order in WWE3,Vampirovibrionales,Veillonellales-Selenomonadales,Verrucomicrobiales,Vicinamibacterales,WD260,Woesearchaeales,Xanthomonadales
F90,17,0,52,0,0,612,0,84,5926,12,0,0,0,0,0,20,0,7,41,27,9,0,21,0,0,12,0,1168,954,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,95,658,0,266,8,0,17,0,349,0,0,0,0,0,213,0,0,23,0,0,0,86,0,0,0,0,0,0,5365,0,0,0,4,0,0,0,0,0,11,15,3085,495,2910,94,1342,0,0,7,0,327,9,0,0,439,56,0,20,0,5,97,0,0,399,3,0,0,4,0,0,14,0,2,0,0,0,2,3,8,192,1032,83,11,0,0,0,683,0,16,3,19,17,0,6,0,0,0,0,434,0,0,0,0,0,0,815,14,30,25,0,0,0,129,5954,0,45,31,96,0,14,66,24,0,0,0,0,2393,859,47,142,0,98,210,199,5,154,0,15,3150,194,0,0,0,0,0,0,0,0,52,33,0,0,809,145,7,85,0,789,728,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,56,0,0,15,0,0,67,12,0,0,108,9,25,23,80,0,2,0,0,0,0,3,18,0,2,0,0,0,0,4,0,0,0,0,0,758,0,0,0,20,0,0,0,0,326,0,15,254,0,0,0,0,375,0,0,0,0,0,825,88,0,341
F93,28,0,145,0,0,118,2,0,893,0,0,22,0,0,6,57,0,4,2,234,4,0,25,0,53,9,0,244,1839,7,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,13,340,94,616,11,75,2,0,3078,40,0,0,4,0,356,0,0,60,0,0,0,42,122,5,5,0,0,0,1392,0,0,7,0,206,0,0,0,0,12,163,1637,2463,464,97,922,0,0,0,0,635,5,3,0,732,70,6,0,6,0,0,7,0,794,0,0,23,12,0,0,0,7,0,0,0,5,0,2,76,625,266,513,18,0,0,0,203,14,19,6,392,11,0,9,0,51,14,0,1187,0,3,3,9,15,54,503,135,163,112,121,73,7,368,7600,7,36,0,1294,20,69,58,6,0,0,0,0,757,674,44,360,0,113,253,90,0,57,24,199,681,374,0,0,0,0,0,33,0,4,78,41,25,0,182,16,0,22,6,96,604,0,0,15,0,400,0,0,18,0,0,0,0,0,5,0,0,0,0,372,0,0,0,0,0,92,15,0,12,118,452,0,232,33,7,0,0,239,65,2,0,268,0,0,8,2,26,4,5,0,0,3,0,0,314,0,6,0,0,50,20,67,15,598,23,2,343,0,0,0,0,31,0,4,0,0,39,3265,22,0,207
F96,40,0,125,0,0,256,0,47,1501,0,0,0,0,0,13,51,0,4,8,199,4,0,40,0,48,8,0,287,2620,31,0,0,0,3,0,0,0,0,3,4,0,0,2,0,2,14,306,77,598,10,47,0,0,3904,16,0,0,0,0,422,0,0,45,0,0,0,39,103,3,0,0,10,2,1421,0,0,3,4,134,2,0,11,6,16,224,1938,3124,657,99,835,0,0,8,0,587,0,3,0,839,105,0,0,0,0,2,23,0,454,2,0,33,0,0,0,3,3,0,0,2,6,0,5,75,660,465,736,24,0,0,4,354,8,135,4,274,7,18,7,3,23,0,0,1639,0,0,9,36,3,45,595,233,104,88,169,38,2,334,8397,18,38,26,1215,0,63,36,8,3,5,0,0,757,1209,49,382,0,96,278,62,0,41,20,225,1295,445,0,7,0,0,0,87,0,6,40,46,36,0,219,58,8,0,13,153,810,0,3,11,0,284,4,4,7,0,0,0,8,0,7,7,0,0,0,444,0,2,0,0,0,57,19,0,5,141,403,0,235,38,15,0,0,399,176,0,0,354,0,0,19,0,0,0,6,2,3,0,0,0,342,15,10,0,0,49,13,86,24,436,15,0,347,0,0,0,14,45,0,0,0,0,34,3080,25,0,240
F99,14,50,27,0,0,642,0,351,3919,7,17,0,0,0,5,17,22,478,4,552,0,0,2,0,0,0,0,1149,316,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,106,2,165,0,8,10,0,186,95,0,0,21,0,135,0,0,4,0,0,0,28,0,0,0,20,0,0,2476,0,0,0,4,10,0,0,0,0,14,0,4013,597,1147,0,458,0,0,116,0,109,0,4,0,797,0,0,0,7,0,0,0,0,7521,0,0,0,2,0,0,0,0,6,0,0,0,0,0,279,620,185,58,0,0,9,0,502,0,73,28,0,11,4,0,0,69,0,0,10,0,3,2,0,0,0,196,0,0,265,0,25,0,60,5691,0,0,0,53,0,9,31,0,0,4,0,0,1028,4152,6,286,0,3,84,401,2,215,0,4,979,123,0,0,0,0,0,0,0,0,22,270,0,0,571,115,0,44,0,6712,57,6,57,0,0,0,0,166,0,0,0,0,0,0,263,0,0,5,0,5,0,0,0,0,4,581,2,7,0,272,0,6,0,16,0,0,0,39,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,35,0,0,17,20,0,0,0,0,140,11,5,1736,0,0,0,0,940,0,0,0,0,0,634,0,0,37
F102,26,14,14,0,0,819,0,158,4945,20,0,0,0,0,7,67,0,15,6,23,0,0,12,0,0,7,0,649,472,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,115,552,0,108,0,0,10,0,1033,25,0,0,3,0,190,0,0,0,0,0,0,48,0,0,0,0,0,0,6504,0,0,3,0,8,0,0,0,0,20,8,5669,534,3502,122,574,0,0,76,0,155,0,0,0,654,70,0,0,0,11,55,0,0,620,2,0,0,13,0,0,0,0,0,0,0,9,0,0,30,52,582,51,0,0,0,0,242,0,77,11,7,11,3,8,6,12,0,0,544,0,0,0,2,15,0,398,18,0,134,0,106,0,74,6567,8,16,18,25,0,0,26,13,0,0,0,0,1185,2054,30,41,0,35,146,344,0,90,0,0,1764,24,2,0,0,0,0,64,0,0,189,13,0,0,1186,90,0,127,0,756,290,0,7,0,0,0,0,2,0,0,0,0,0,0,32,0,0,3,0,12,0,0,0,0,0,108,14,0,0,48,9,8,0,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,755,0,0,0,9,0,0,0,0,144,0,16,218,0,0,0,0,417,0,0,0,0,14,530,116,0,168
F105,8,0,14,0,0,981,0,73,10701,0,0,0,0,0,0,38,0,20,33,54,0,0,6,0,0,0,0,886,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,453,0,75,4,0,5,0,680,19,0,0,3,0,164,5,0,0,0,0,0,26,0,0,0,8,0,0,5824,0,0,0,2,0,0,0,0,0,10,0,4885,480,3317,98,785,0,0,74,0,171,0,0,0,819,121,0,0,0,2,45,0,0,1067,3,0,0,4,0,0,3,0,0,0,0,6,0,3,0,25,480,29,0,0,0,0,175,0,91,11,9,21,4,3,0,11,0,4,534,0,0,0,0,2,0,425,0,0,48,0,64,0,175,8808,0,53,6,11,0,0,35,9,2,0,0,0,1201,1386,15,44,0,33,138,15,0,395,0,0,3167,62,6,0,0,0,0,30,0,0,43,3,0,0,1469,122,0,101,0,570,254,0,3,0,0,0,0,0,0,3,0,0,2,0,15,0,0,0,0,16,0,0,15,0,0,260,8,0,0,106,12,16,0,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,813,0,0,0,5,0,0,0,0,389,0,45,363,0,0,0,0,1044,0,0,0,2,7,1308,51,0,106
F108,15,0,2,0,0,789,0,119,5609,0,0,0,8,0,0,48,0,11,9,21,0,0,6,0,10,0,0,761,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,526,0,168,9,0,8,0,412,49,0,0,0,0,228,0,0,10,0,0,0,40,0,0,0,0,0,0,4719,0,0,15,0,0,0,0,0,0,28,12,4727,527,2789,41,728,0,0,90,0,175,0,9,0,701,20,0,0,0,0,51,0,0,3334,2,0,0,0,0,0,0,0,0,0,0,0,0,0,44,123,546,44,3,0,31,0,426,0,111,24,33,8,0,6,0,7,0,0,529,0,0,0,3,8,0,523,0,4,73,0,55,0,159,5832,0,26,16,21,0,8,44,15,0,0,0,0,1255,1336,20,161,2,88,127,225,0,142,0,15,2285,51,2,0,0,0,0,10,0,0,28,10,0,0,1273,142,5,160,3,1543,331,0,0,0,0,0,0,68,0,0,0,0,0,0,19,0,0,0,0,25,0,0,0,3,0,177,9,0,0,115,45,0,0,36,2,0,0,0,0,0,0,15,0,0,4,0,0,3,0,3,0,0,0,5,1316,0,5,0,0,0,0,0,0,185,0,70,329,0,0,0,0,435,0,0,0,0,0,359,62,0,171
P37,27,0,14,0,0,619,0,204,8270,0,19,0,2,0,0,73,0,301,7,3006,2,0,6,0,3,0,0,939,1254,50,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,311,212,5,177,0,8,6,0,1355,3,0,2,25,0,348,0,0,0,0,0,0,16,0,0,0,0,0,0,1989,0,0,9,5,0,0,0,0,0,0,4,3906,894,1546,298,175,0,0,0,0,165,0,0,0,451,253,0,0,0,0,21,0,0,1756,9,6,0,8,0,0,0,0,0,0,0,2,0,0,381,872,232,107,2,0,0,0,57,0,40,0,0,6,0,0,11,133,0,0,206,0,12,0,0,2,0,160,56,0,155,111,37,0,79,5319,0,6,12,51,0,5,27,6,0,2,0,0,1024,2788,22,248,0,23,517,500,0,173,0,0,909,67,0,0,0,0,0,8,0,0,9,152,0,5,579,44,0,63,0,2030,91,0,0,0,0,0,0,5,0,0,0,0,0,0,95,0,0,2,0,13,0,0,4,0,0,132,9,0,0,118,36,0,0,12,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,7,5,0,0,0,0,448,7,0,909,0,0,0,0,956,0,0,2,0,6,747,0,0,70
P65,32,42,39,0,0,1014,0,191,5480,0,17,0,0,0,0,47,0,375,9,651,0,12,4,0,0,0,0,1120,1796,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,278,0,194,4,3,21,2,965,51,0,0,18,0,276,0,6,0,0,0,0,42,0,0,0,16,0,0,1732,0,0,156,0,2,0,0,0,0,6,38,4088,443,1064,303,566,0,0,18,0,155,0,0,0,478,284,0,0,0,0,29,0,0,4349,3,12,0,10,0,0,0,0,0,0,0,0,0,0,355,422,242,43,6,0,0,0,595,0,78,43,0,7,5,0,6,37,0,9,88,0,0,0,0,0,0,226,108,732,487,6,29,0,112,4195,3,21,8,48,0,2,83,5,0,0,0,0,1353,3466,133,673,0,42,296,604,0,145,0,3,2345,67,0,0,0,0,0,61,0,0,32,102,0,0,517,82,0,114,0,3576,115,0,31,0,2,0,0,134,0,0,0,0,0,0,161,6,0,0,0,5,0,0,7,0,0,83,2,0,0,56,4,13,0,8,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,232,0,0,9,9,0,0,0,0,183,5,9,997,0,0,0,0,773,0,0,3,0,4,424,7,0,189
P66,9,33,23,0,0,514,0,286,4396,0,13,0,0,0,6,23,23,348,11,277,0,0,2,0,6,6,0,1193,512,51,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,205,106,0,274,4,0,9,0,754,84,0,2,8,0,143,0,11,9,0,0,0,43,0,0,0,13,0,0,1502,0,0,6,0,12,0,0,0,0,8,0,3335,331,1041,238,789,0,0,68,0,153,12,0,0,728,107,0,0,2,0,29,0,0,4601,0,0,0,5,0,0,0,0,6,0,0,0,0,0,740,393,179,36,6,0,20,0,494,0,40,79,3,3,0,0,0,58,0,0,57,0,0,0,0,0,0,263,51,0,324,16,20,0,81,2990,0,10,3,68,0,3,51,11,0,0,0,0,1084,3191,0,551,0,8,183,348,0,228,0,4,2328,73,0,0,0,0,0,65,0,0,78,131,4,0,427,122,0,38,0,9414,69,9,93,0,0,0,0,289,0,0,0,0,0,0,207,0,0,12,0,8,0,0,6,4,0,516,5,0,0,91,0,27,0,20,0,4,0,16,0,0,0,10,0,0,0,0,0,7,0,0,0,0,0,0,180,0,0,7,12,0,0,0,0,111,0,5,1063,0,0,0,0,924,0,0,0,0,0,458,0,0,53
P154,7,37,0,0,0,1086,0,133,3883,0,0,0,0,0,0,39,0,14,7,58,0,40,0,0,0,10,0,789,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,554,0,151,2,0,19,11,62,0,6,11,5,0,201,10,0,6,0,0,25,81,0,0,0,13,0,0,6802,0,3,85,9,0,0,0,0,0,0,52,4400,478,3450,24,576,4,0,48,0,98,0,0,0,741,25,0,0,0,5,116,0,0,181,84,0,0,15,0,0,5,0,0,0,0,0,0,0,16,47,616,0,5,0,0,0,96,0,131,16,0,11,0,0,49,0,0,0,132,2,10,0,0,0,0,301,8,886,70,0,114,0,171,5974,8,62,29,8,0,0,44,5,0,0,0,0,830,1622,33,104,58,40,219,288,0,270,10,0,2670,0,21,0,0,0,0,0,0,0,41,9,2,0,1242,66,0,58,0,785,227,0,0,0,0,0,0,13,0,0,0,0,0,0,17,0,4,0,0,17,0,0,27,0,5,251,0,0,0,64,8,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,1860,0,0,0,7,0,0,0,0,185,0,68,235,0,5,0,0,902,0,0,0,0,0,576,64,0,188
P160,11,25,8,0,2,774,0,223,4666,0,12,0,0,0,0,28,5,368,23,397,0,0,0,0,6,2,0,1371,309,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,195,0,122,2,2,4,0,1443,29,0,0,9,0,157,0,3,0,0,2,3,13,0,0,0,6,0,0,2586,0,0,0,2,8,0,0,0,0,14,0,4009,735,1513,159,486,0,0,28,0,161,0,0,0,614,72,0,0,0,4,0,0,0,3624,5,4,0,0,0,0,2,0,0,0,0,0,0,0,202,507,149,63,4,0,0,0,451,0,24,0,0,0,0,0,0,0,0,0,114,0,2,0,0,0,0,242,14,0,119,0,43,0,63,5354,0,6,0,30,0,0,46,4,0,3,0,0,1432,4662,3,266,5,7,77,426,0,181,0,0,1130,144,0,0,0,0,0,20,5,3,21,112,0,0,681,109,0,20,0,3903,92,3,20,0,0,0,0,170,0,0,0,0,0,0,126,0,2,9,0,4,0,0,9,0,0,422,0,0,0,108,9,0,0,20,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,233,3,0,20,7,0,0,0,0,198,17,0,1096,0,0,0,0,982,0,0,0,0,0,675,0,0,37
G42,11,0,44,0,0,628,0,221,5524,0,0,0,0,0,5,26,0,172,48,374,0,5,10,0,3,0,0,1259,974,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,316,0,96,2,0,0,0,4266,38,0,0,9,0,109,0,0,12,0,0,0,38,0,0,0,11,0,0,2289,0,0,13,0,3,0,0,0,0,16,9,3310,297,1449,119,405,0,0,118,0,213,9,0,0,429,57,0,0,0,0,25,0,0,3919,11,4,0,0,0,0,6,0,0,0,0,0,0,0,122,600,161,38,16,0,0,0,709,0,28,27,0,0,0,4,0,15,0,5,491,0,2,0,0,0,0,291,42,88,7,266,0,0,87,4251,0,5,6,81,0,5,54,0,0,0,0,0,1076,1942,9,192,0,39,224,479,0,189,0,0,2093,89,0,0,0,0,0,6,6,0,15,72,0,0,438,68,0,76,2,4929,162,0,9,0,0,0,0,273,0,0,0,0,0,0,60,0,0,0,0,15,0,0,4,0,0,120,0,0,0,168,9,0,0,0,3,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,4,0,9,0,534,0,0,5,4,0,0,0,0,202,0,21,765,0,0,0,0,793,0,0,0,0,0,904,12,0,101
