"sample","X0319.6G20","X0319.7L14","X11.24","Acetobacterales","Acidimicrobiales","Acidobacteriales","Alicyclobacillales","Armatimonadales","Azospirillales","B10.SB3A","B12.WMSP1","Babeliales","Bacillales","Bdellovibrionales","Blastocatellales","Blfdi19","Bryobacterales","Burkholderiales","C0119","Candidatus.Liptonbacteria","Catenulisporales","Caulobacterales","CCD24","Chitinophagales","Chlamydiales","Chloroflexales","Chloroplast","Chthoniobacterales","Chthonomonadales","Clostridia.vadinBB60.group","Clostridiales","Corynebacteriales","Cyanobacteriales","Cytophagales","Deferribacterales","Desulfitobacteriales","Diplorickettsiales","Dongiales","Elev.1554","Elsterales","Enterobacterales","Entomoplasmatales","Entotheonellales","Fimbriimonadales","Frankiales","Gaiellales","Gammaproteobacteria.Incertae.Sedis","Gemmatales","Gemmatimonadales","Group.1.1c","Haliangiales","Holophagales","Holosporales","IMCC26256","Isosphaerales","JG36.TzT.191","Kallotenuales","KF.JG30.C25","Ktedonobacterales","Lachnospirales","Lactobacillales","Legionellales","Lineage.IV","Marine.Group.II","Micrococcales","Micromonosporales","Micropepsales","Microtrichales","mle1.27","MSB.4B10","MVP.88","Myxococcales","Nitrososphaerales","Nitrosotaleales","Nitrospirales","Obscuribacterales","Oligoflexales","Opitutales","Oscillospirales","Paenibacillales","Paludibaculum","Paracaedibacterales","Pedosphaerales","Peptostreptococcales.Tissierellales","Pirellulales","Polyangiales","Propionibacteriales","Pseudomonadales","Pseudonocardiales","Pyrinomonadales","R7C24","Reyranellales","Rhizobiales","Rhodospirillales","Rickettsiales","Rokubacteriales","S085","Saccharimonadales","Salinisphaerales","SAR202.clade","Solibacterales","Solirubrobacterales","Sphingobacteriales","Sphingomonadales","Steroidobacterales","Streptomycetales","Streptosporangiales","Subgroup.13","Subgroup.17","Subgroup.2","Subgroup.7","Symbiobacteriales","Tepidisphaerales","Thermoactinomycetales","Thermoanaerobaculales","Thermomicrobiales","Tistrellales","Unclassified.Order.in.Acidimicrobiia","Unclassified.Order.in.Acidobacteriae","Unclassified.Order.in.Actinobacteria","Unclassified.Order.in.AD3","Unclassified.Order.in.Alphaproteobacteria","Unclassified.Order.in.Anaerolineae","Unclassified.Order.in.Armatimonadota","Unclassified.Order.in.Bathyarchaeia","Unclassified.Order.in.Chloroflexi","Unclassified.Order.in.Chloroflexia","Unclassified.Order.in.Cyanobacteria","Unclassified.Order.in.Desulfobacterota","Unclassified.Order.in.FCPU426","Unclassified.Order.in.FFCH5909","Unclassified.Order.in.GAL15","Unclassified.Order.in.Gammaproteobacteria","Unclassified.Order.in.JG30.KF.CM66","Unclassified.Order.in.KD4.96","Unclassified.Order.in.Ktedonobacteria","Unclassified.Order.in.Latescibacterota","Unclassified.Order.in.Lineage.IIa","Unclassified.Order.in.Lineage.IIb","Unclassified.Order.in.Lineage.IIc","Unclassified.Order.in.MB.A2.108","Unclassified.Order.in.NB1.j","Unclassified.Order.in.P2.11E","Unclassified.Order.in.Parcubacteria","Unclassified.Order.in.Patescibacteria","Unclassified.Order.in.Polyangia","Unclassified.Order.in.RCP2.54","Unclassified.Order.in.Sericytochromatia","Unclassified.Order.in.SHA.26","Unclassified.Order.in.Subgroup.5","Unclassified.Order.in.Thermoleophilia","Unclassified.Order.in.Thermoplasmata","Unclassified.Order.in.TK10","Unclassified.Order.in.WPS.2","Vampirovibrionales","Vicinamibacterales","WD260","Xanthomonadales","AKIW659","Anaerolineales","Bacteroidales","Brevibacillales","Chitinivibrionia.Incertae.Sedis","Clostridia.UCG.014","Coxiellales","EC3","Elusimicrobiales","FCPU453","Flavobacteriales","Hydrogenispora","Kapabacteriales","Longimicrobiales","Phycisphaerales","RBG.13.54.9","SBR1031","Silvanigrellales","SJA.28","Spirochaetales","Subgroup.12","Syntrophobacterales","TSBb06","Unclassified.Order.in.bacteriap25","Unclassified.Order.in.Firmicutes","Unclassified.Order.in.Gitt.GS.136","Unclassified.Order.in.Margulisbacteria","Unclassified.Order.in.Myxococcota","Unclassified.Order.in.Pla4.lineage","Unclassified.Order.in.Proteobacteria","Unclassified.Order.in.SAR324.clade.Marine.group.B.","Unclassified.Order.in.TX1A.33"
"P66",0.00017697722892987,0.00064891650607621,0.00045227514059857,0.0101073661855508,0.00562394305266056,0.0864435442639714,0.00025563377512093,0.00011798481928658,0.00045227514059857,0.00045227514059857,0.00684311951862194,0.0002163055020254,0.00544696582373068,3.93282730955284e-05,0.00011798481928658,0.00011798481928658,0.0234593149014827,0.0100680379124553,0.00100287096393597,3.93282730955284e-05,0.00403114799229166,0.002084398474063,0,0.00538797341408739,7.86565461910568e-05,0,0.00017697722892987,0.0148267589570142,0.00165178747001219,3.93282730955284e-05,0.00015731309238211,0.00281197152633028,0.0002163055020254,0.00017697722892987,0,0,0.00084555787155386,0,0.00025563377512093,0.0295355330947418,0.00011798481928658,0,0.00023596963857317,0.00015731309238211,0.0655798953867936,0.00650882919730995,0.0204703661462225,0.00468006449836788,0.0155150037361859,0.00133716128524796,0.00300861289180792,0.00023596963857317,0,0.0143154914067723,0.00210406261061077,0,3.93282730955284e-05,0.00057025995988516,0.090474692256263,0,0,9.83206827388209e-05,0,0.00011798481928658,0.0145514610453455,0.00772800566327133,0.00351988044204979,0.00070790891571951,0.00011798481928658,0.00039328273095528,0,0.00971408345459551,0.00078656546191056,0.00155346678727337,5.89924096432926e-05,5.89924096432926e-05,0,0,0,0.00114051991977032,0,0,0.00112085578322256,0,0,0.00517166791206198,0.00100287096393597,0,0.0063711802414756,0.00031462618476422,0.00039328273095528,0.0015927950603689,0.0587957682778149,0.00019664136547764,5.89924096432926e-05,0.00133716128524796,5.89924096432926e-05,0.00100287096393597,0.0002163055020254,0,0.0213159240177764,0.0627482597239155,0,0.0108349392378181,0.00015731309238211,0.00359853698824085,0.00684311951862194,0.00448342313289023,7.86565461910568e-05,0.045778109883195,0.00143548196798679,0,0.00127816887560467,0,0.00153380265072561,0.00257600188775711,7.86565461910568e-05,0.00839658630589531,0.00239902465882723,0.00074723718881503,0.185118181460652,0.00135682542179573,0.00017697722892987,0.00182876469894207,0.00568293546230385,0.00407047626538719,0,0.00023596963857317,0.00015731309238211,0.00011798481928658,7.86565461910568e-05,0.0101466944586463,9.83206827388209e-05,0.00178943642584654,0,0.00053093168678963,0,0.00039328273095528,0,7.86565461910568e-05,0.00031462618476422,0.00019664136547764,0.00013764895583434,0,0,0,0.00353954457859755,0.00013764895583434,0.00023596963857317,0.00218271915680182,0,9.83206827388209e-05,0.0209029771502733,0.0181696621701341,0,0.009006174538876,0,0.0010421992370315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I07",0.00021961786491504,0,0.00069878411563878,0.0120590173098808,0.00295485854612973,0.105516401461457,0.00021961786491504,0,0.00049913151117056,5.98957813404676e-05,0.00431249625651367,0,0.0126979056441791,5.98957813404676e-05,0,7.98610417872901e-05,0.0183281090901831,0.00690798011460059,0.00015972208357458,0,0.0015972208357458,0.00361371214087488,7.98610417872901e-05,0.00127777666859664,0,0.00019965260446822,0.00011979156268093,0.0430051710024557,0.00049913151117056,0,0.00029947890670233,0.00251562281629964,0,0,3.99305208936451e-05,0,0.00015972208357458,0.00033940942759598,0.00013975682312775,0.0585980394114241,0,9.98263022341126e-05,0,0,0.0735320542256474,0.0114201289755825,0.0221215085750794,0.00499131511170563,0.00481162776768423,0.00157725557529898,0.00375346896400264,0,7.98610417872901e-05,0.008325513606325,0.00341405953640665,0,0,5.98957813404676e-05,0.0934773494120231,0,0,0,0,3.99305208936451e-05,0.00295485854612973,0.0186874837782259,0.0036336774013217,0.00183680396110767,0,0,0,0.00896440194062332,0.00347395531774712,0.00071874937608561,0,0.00019965260446822,0,0,9.98263022341126e-05,0.00089843672010701,0,0,0.0034539900573003,0.00013975682312775,0,0.00471180146545012,0.00025954838580869,0,0.00201649130512908,0.00091840198055383,0.00043923572983009,0.00111805458502206,0.116097989498273,9.98263022341126e-05,3.99305208936451e-05,0.00173697765887356,7.98610417872901e-05,0.00161718609619262,3.99305208936451e-05,3.99305208936451e-05,0.0204044961766526,0.0426258310539661,9.98263022341126e-05,0.00391319104757722,0.00025954838580869,0.00507117615349292,0.00826561782498453,0.00331423323417254,0,0.0228801884720586,0.0022161439095973,7.98610417872901e-05,0.00043923572983009,5.98957813404676e-05,0,0.00213628286781001,3.99305208936451e-05,0.00842533990855911,0.00173697765887356,0.00095833250144748,0.0892047836764031,0.00379339948489628,9.98263022341126e-05,0.0005390620320642,0.00489148880947152,0.00269531016032104,0.00021961786491504,0,0.00023958312536187,3.99305208936451e-05,0,0.00563020344600395,0,0.00215624812825683,0.00071874937608561,0,0.00119791562680935,3.99305208936451e-05,0,0,0.00037933994848962,3.99305208936451e-05,0,0,0,0,0.00798610417872901,0.00021961786491504,0.0001796873440214,0.00547048136242937,0,7.98610417872901e-05,0.0222612653982071,0.0211631760736319,0.00013975682312775,0.0281310519695729,0,0.00031944416714916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I22",0.00098758990794916,0.00024223903402526,0.00014907017478478,0.0139007937986807,0.00313047367048038,0.159635523422651,0.00050311183989863,0,0.00067081578653151,3.7267543696195e-05,0.00616777848172027,0.00011180263108858,0.0281369954906272,3.7267543696195e-05,7.453508739239e-05,0.00046584429620243,0.0237580591063243,0.00704356575858085,0.00029814034956956,0,0.00322364252972087,0.0059628069913912,0,0.0029814034956956,0.00014907017478478,0,0.00024223903402526,0.022360526217717,0,3.7267543696195e-05,0.00052174561174673,0.00260872805873365,5.59013155442925e-05,3.7267543696195e-05,0,9.31688592404875e-05,0.00087578727686058,0,7.453508739239e-05,0.0624417694629747,0,0.00011180263108858,0,0.00022360526217717,0.0576528900980136,0.00618641225356837,0.0368762344873849,0.00376402191331569,0.00933551969589684,0.00039130920881004,0.00437893638430291,0.00014907017478478,3.7267543696195e-05,0.00624231356911266,0.00244102411210077,0.00029814034956956,0,0.00080125218946819,0.0210747959601983,0.00016770394663287,0.00031677412141765,0.00016770394663287,3.7267543696195e-05,0.00011180263108858,0.0044907390153915,0.00709946707412514,0.00436030261245481,0.00029814034956956,9.31688592404875e-05,0.00024223903402526,7.453508739239e-05,0.00970819513285879,0.00035404166511385,0.00037267543696195,0,0.00035404166511385,0.00016770394663287,7.453508739239e-05,0.00014907017478478,0.00186337718480975,0.00014907017478478,5.59013155442925e-05,0.00244102411210077,0.00018633771848097,3.7267543696195e-05,0.00655908769053032,3.7267543696195e-05,3.7267543696195e-05,0.00083851973316438,0.00020497149032907,0.00100622367979726,0.00180747586926546,0.0963925017702083,0.00024223903402526,0.00011180263108858,0.00128573025751873,0.00014907017478478,0.00229195393731599,0,0,0.0299444713598927,0.0584355085156337,0.00044721052435434,0.0128945701188835,0.0006894495583796,0.00165840569448068,0.00713673461782134,0.00462117541832818,0.00016770394663287,0.0416278463086498,0.00333544516080945,7.453508739239e-05,0.00013043640293668,0,0.00011180263108858,0.00191927850035404,0,0.010695785040808,0.0030000372675437,0.00063354824283531,0.0957403197555249,0.00471434427756867,9.31688592404875e-05,0,0.0007080833302277,0.00087578727686058,0,0.00027950657772146,0.00014907017478478,0.00042857675250624,5.59013155442925e-05,0.00469571050572057,0.00020497149032907,0.00229195393731599,0.00016770394663287,0,0,0.00018633771848097,7.453508739239e-05,9.31688592404875e-05,0.00026087280587336,0.00024223903402526,9.31688592404875e-05,9.31688592404875e-05,0.00014907017478478,0.00014907017478478,0.00585100436030261,0.00018633771848097,0,0.00570193418551783,5.59013155442925e-05,0.00024223903402526,0.00913054820556777,0.0313047367048038,0,0.015093355196959,0.00013043640293668,0.00171430701002497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",7.39007266904791e-05,0,0.00049882990516073,0.00852321714496859,0.00281438600812908,0.256213819435891,0.00073284887301391,0,0,0,0.00187215174282547,4.31087572361128e-05,0.0313770168739993,0,6.15839389087326e-05,0.00021554378618056,0.0236543909348442,0.00804286242148048,0.00027096933119842,0,0,0.00269737652420249,0,0.00154575686660919,0,0,0,0.0285441556841976,0,0,0.00081290799359527,0.00259884222194852,0,0,0,0,9.85343022539722e-05,0,0,0.0496797635176746,0,0,0.00012316787781746,0,0.06375169355832,0.00385515457568666,0.0273802192388225,0.00193989407562508,0.00302377140041877,4.31087572361128e-05,0.00046803793570636,0,0,0.00953935213696268,0,0,0,0.00014780145338095,0.0201194728414829,0,0,0,0,0,0.00636162088927208,0.0024879911319128,0.00739623106293879,0,0,0,0,0.00517305086833354,0,8.62175144722256e-05,0,0,0,0,0,0.00173666707722626,0,0,0.00188446853060722,0.00026481093730755,0,0.00320852321714497,0,0,0,0,0,0.00133021308042862,0.149427269368149,0.00011700948392659,0,0.00062815617686907,0,0.0022108634068235,0.00027712772508929,0,0.0385761793324301,0.0302007636408425,0.0005296218746151,0.0136901096194113,0.00024017736174405,0.00248183273802192,0,0.00415691587633945,0,0.0372521246458924,0.00097302623475797,0,0.00028328611898017,0,0,0,0,0.00998891489099643,0.00404606478630373,0,0.0304778913659318,0.0280699593546003,0,0,0,0.00102229338588496,0,0,0.00033871166399802,0,0,0.00266658455474812,0,0.00096070944697622,0,0.00021554378618056,0,0.00046803793570636,5.54255450178593e-05,0,0,0,0,0,0,0.00112082768813893,0.00450178593422835,0.00030176130065279,0,0.005296218746151,0,0,0.0106232294617564,0.031050621997783,0,0.00506219977829782,0,0.00104692696144845,0.00055425545017859,0,0,0,0,0,0,0,0,0,0,0,0,6.15839389087326e-05,0,0,0.00012316787781746,0,0,0,0,0,0,0,0,0.00020938539228969,0,0,0,0,0,0
"4",0.00035362602687557,0,0.00145077344359212,0.00694557786119725,0.0018588034746024,0.230772718205393,0,0,0.00127849409716555,0,0.00116061875487369,0,0.0130297589902617,0,0.00047150136916743,0,0.0251618519123007,0.0167655006075114,0.00060751137950419,0,0,0.0037538762852946,0,0.00305569156556589,0,0,0,0.0230219610830024,0,0,0,0.00233937217779229,0,0.00022668335056126,0,0,0,0,0,0.0279999274613278,0,0,0,0.00039896269698783,0.0501242224761076,0.00153237944979417,0.0300582122844241,0.00190414014471465,0.0050233030484377,0,0.00280180621293727,0.00019041401447146,0,0.00569428576609905,0,0,0,0,0.0353898046896252,0,0,0,0,0,0.0134196543532271,0.00518651506084181,0.00613858513319914,0.0006619153836389,0,0,0,0.0229312877427779,0,0.00013601001033676,0.00012694267631431,0,0,0,0,0,0,0,0.0031826342418802,0,0,0.00593910378470522,0,0,0,0.00029922202274087,0,0.00206735215711876,0.11125618845547,0,0.00032642402480822,0.0018588034746024,0,0.00296501822534139,0.00053497270732459,0,0.0411656964619263,0.0281087354695972,0.00113341675280634,0.0208730029196816,0.00039896269698783,0.00334584625428432,0,0.00514117839072956,0,0.0909272255771358,0.00081606006202056,0,0.00029015468871842,0,0,0,0,0.00644687448996246,0,0,0.0499066064595688,0.0145530711060334,0,0,0,0.0006619153836389,0,0,0.00052590537330214,0.00028108735469597,0,0.00364506827702519,0.00359066427289048,0,0,0.00041709736503273,0,0,0,0,0,0.00085232939811036,0,0,0,0,0.00565801643000925,0.0007163193877736,0,0.0025025841901964,0,0,0.00706345320348911,0.0304753096494569,0,0.00456993634731516,0,0.00095207007235732,0,0,0,0,0,0,0,0,0,0,2.72020020673522e-05,0,0,0,0,0,0,0,0,0,0,0,0.0044339263369784,0,0,0,0,0,0.00011787534229185,0,0,0
"10",0,0,0.0036200495049505,0.00441419141914191,0,0.181177805280528,0.00042285478547854,0,0.00225866336633663,0,0,0,0.0426773927392739,0,0,0,0.0196782178217822,0.0184405940594059,0.00076320132013201,0,0.00158828382838284,0.00645627062706271,0,0.00389851485148515,3.09405940594059e-05,0,6.18811881188119e-05,0.0323844884488449,0,0,0.00241336633663366,0.00292904290429043,0,0.00078382838283828,0,0,0.00026815181518151,0,0,0.0377887788778878,0,0,0,0.00034034653465346,0.0542491749174917,0.00748762376237624,0.0165635313531353,0.00089727722772277,0.00313531353135314,0,0.00420792079207921,0,0,0.0069513201320132,0,0,0,0,0.0217718646864686,0,0,0,0,0.00014438943894389,0.0189459570957096,0.0141501650165017,0.0156971947194719,0,0,0,0,0.0087046204620462,0,0,0,0,0,0,0,0.00063943894389438,0,0,0.00396039603960396,0,0,0.00561056105610561,0.00228960396039604,0,0,0.00081476897689769,0,0.00323844884488449,0.155517739273927,0,0,0.00241336633663366,0.00027846534653465,0.00555899339933993,0.00050536303630363,0,0.0577867161716172,0.0129022277227723,0.00166047854785479,0.0286200495049505,0.00039191419141914,0.00703382838283828,0.00308374587458746,0.0024236798679868,0,0.0724009900990099,0.00233085808580858,0,0,0,0,0,0,0.00764232673267327,0.00496080858085809,0,0.0222462871287129,0.0182858910891089,0,0,0,0,0,0,0.00234117161716172,0,0,0.00089727722772277,0,0.0005569306930693,0.00067037953795379,0,0.00059818481848184,0,0,0,0,0.00043316831683168,0,0,0,0,0.00478547854785479,0.00045379537953795,0,0.00536303630363036,0,0,0.00691006600660066,0.0100041254125413,0,0.00663160066006601,0,0.00211427392739274,0,0.00021658415841584,0,0,0,0,0,0,0,0,0,0,0.00012376237623762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0.00027330120525831,0.0117792819466334,0,0.256566061456331,0,0,0,0,0.00110231486120854,0,0.0159972305477867,0,0,0,0.0204975903943736,0.0102305751168363,0,5.4660241051663e-05,0.00107498474068271,0.00817170603722362,0,0.00299720321766619,7.28803214022174e-05,0,0,0.0151955470123623,0,0,0,0,0,0,0,0,0.00052838233016607,0,0,0.0675327278193297,0.00072880321402217,0,0,0.00041906184806275,0.0586959888493108,0.00246882088750011,0.0350554345944666,0,0.0039901975967714,0,0.00261458153030455,0.00067414297297051,0,0.00803505543459447,0.00073791325419745,0.0043090490029061,0,0.00119341526296131,0.0168171341635617,0,0,0,0,0,0.00496497189552606,0.00318851406134701,0.0110322586522607,0,0,0,0,0.0146398345616704,0,0,0,0.00044639196858858,0,0,0,0,0,0,0.00282411245433592,0.00016398072315498,0,0.00568466506937296,0,0,0,0,0,0.00240505060627317,0.101658938315918,0,0.00014576064280443,0.00112964498173437,0,0.00185844819575654,0.0003188514061347,0,0.0408949703468192,0.0285599759494939,0.00080168353542439,0.0187211325601946,0.00032796144630997,0.00331605462380089,0,0.00415417831992639,0,0.0544780402481575,0.00078346345507383,0,0.00022775100438192,0,0,0,0,0.0114331004199729,0.00537492370341353,0,0.042826298863978,0.0196503566580729,0,0,0,0.00183111807523071,0,0,0,0.00039173172753691,0,0.00429082892255555,0,0.00053749237034135,0,0,0,0,0,0,0,0.00018220080350554,0,0,0,0,0.00414506827975111,0,0,0.00383532691379169,0,0.00012754056245388,0.00987528355000046,0.0340351100948355,0,0.0059852963951571,0.00037351164718636,0.00365312611028615,0,0,0,0,0,0,0,0,0,0,0.00012754056245388,0,0.00019131084368082,0,0,0,0.00033707148648525,0,0,0,0,0,0,0.00025508112490776,0,0,0,0,0,0,0,0
