"Sample","Riqueza","X0319.6G20","X0319.7L14","X11.24","Acetobacterales","Acidimicrobiales","Acidobacteriales","AKIW659","Alicyclobacillales","Anaerolineales","Azospirillales","B12.WMSP1","Babeliales","Bacillales","Bacteroidales","Bdellovibrionales","Blastocatellales","Blfdi19","Brevibacillales","Bryobacterales","Burkholderiales","C0119","Candidatus.Liptonbacteria","Catenulisporales","Caulobacterales","CCD24","Chitinivibrionia.Incertae.Sedis","Chitinophagales","Chlamydiales","Chloroflexales","Chloroplast","Chthoniobacterales","Chthonomonadales","Clostridia.UCG.014","Clostridiales","Corynebacteriales","Coxiellales","Cyanobacteriales","Cytophagales","Diplorickettsiales","Dongiales","EC3","Elev.1554","Elsterales","Elusimicrobiales","Enterobacterales","Entotheonellales","FCPU453","Fimbriimonadales","Flavobacteriales","Frankiales","Gaiellales","Gammaproteobacteria.Incertae.Sedis","Gemmatales","Gemmatimonadales","Group.1.1c","Haliangiales","Holophagales","Holosporales","Hydrogenispora","IMCC26256","Isosphaerales","JG36.TzT.191","Kapabacteriales","KF.JG30.C25","Ktedonobacterales","Lachnospirales","Lactobacillales","Legionellales","Lineage.IV","Longimicrobiales","Marine.Group.II","Micrococcales","Micromonosporales","Micropepsales","Microtrichales","mle1.27","MSB.4B10","Myxococcales","Nitrososphaerales","Nitrosotaleales","Nitrospirales","Obscuribacterales","Oligoflexales","Opitutales","Oscillospirales","Paenibacillales","Paracaedibacterales","Pedosphaerales","Peptostreptococcales.Tissierellales","Phycisphaerales","Polyangiales","Propionibacteriales","Pseudomonadales","Pseudonocardiales","Pyrinomonadales","RBG.13.54.9","Reyranellales","Rhizobiales","Rhodospirillales","Rickettsiales","Rokubacteriales","S085","Saccharimonadales","Salinisphaerales","SBR1031","Silvanigrellales","SJA.28","Solibacterales","Solirubrobacterales","Sphingobacteriales","Sphingomonadales","Spirochaetales","Steroidobacterales","Streptomycetales","Streptosporangiales","Subgroup.12","Subgroup.13","Subgroup.17","Subgroup.2","Subgroup.7","Syntrophobacterales","Tepidisphaerales","Thermoanaerobaculales","Thermomicrobiales","TSBb06","Unclassified.Order.in.Acidimicrobiia","Unclassified.Order.in.Acidobacteriae","Unclassified.Order.in.Actinobacteria","Unclassified.Order.in.AD3","Unclassified.Order.in.Alphaproteobacteria","Unclassified.Order.in.Anaerolineae","Unclassified.Order.in.bacteriap25","Unclassified.Order.in.Chloroflexi","Unclassified.Order.in.Cyanobacteria","Unclassified.Order.in.Desulfobacterota","Unclassified.Order.in.FCPU426","Unclassified.Order.in.FFCH5909","Unclassified.Order.in.Firmicutes","Unclassified.Order.in.GAL15","Unclassified.Order.in.Gammaproteobacteria","Unclassified.Order.in.Gitt.GS.136","Unclassified.Order.in.JG30.KF.CM66","Unclassified.Order.in.KD4.96","Unclassified.Order.in.Ktedonobacteria","Unclassified.Order.in.Latescibacterota","Unclassified.Order.in.Lineage.IIa","Unclassified.Order.in.Lineage.IIb","Unclassified.Order.in.Lineage.IIc","Unclassified.Order.in.Margulisbacteria","Unclassified.Order.in.MB.A2.108","Unclassified.Order.in.Myxococcota","Unclassified.Order.in.NB1.j","Unclassified.Order.in.Patescibacteria","Unclassified.Order.in.Pla4.lineage","Unclassified.Order.in.Polyangia","Unclassified.Order.in.Proteobacteria","Unclassified.Order.in.RCP2.54","Unclassified.Order.in.SAR324.clade.Marine.group.B.","Unclassified.Order.in.Sericytochromatia","Unclassified.Order.in.Subgroup.5","Unclassified.Order.in.Thermoplasmata","Unclassified.Order.in.TK10","Unclassified.Order.in.TX1A.33","Unclassified.Order.in.WPS.2","Vicinamibacterales","WD260","Xanthomonadales"
2,"pasto",7.39007266904791e-05,0,0.000498829905160734,0.00852321714496859,0.00281438600812908,0.256213819435891,0.000554255450178593,0.000732848873013918,0,0,0.00187215174282547,4.31087572361128e-05,0.0313770168739993,0,0,6.15839389087326e-05,0.000215543786180564,0,0.0236543909348442,0.00804286242148048,0.000270969331198423,0,0,0.00269737652420249,0,0,0.00154575686660919,0,0,0,0.0285441556841976,0,0,0.00081290799359527,0.00259884222194852,0,0,0,9.85343022539722e-05,0,0,0,0.0496797635176746,0,0,0.000123167877817465,0,0,0,0.06375169355832,0.00385515457568666,0.0273802192388225,0.00193989407562508,0.00302377140041877,4.31087572361128e-05,0.000468037935706368,0,0,0,0.00953935213696268,0,0,0,0.000147801453380958,0.0201194728414829,0,0,0,0,6.15839389087326e-05,0,0.00636162088927208,0.0024879911319128,0.00739623106293879,0,0,0,0.00517305086833354,0,8.62175144722256e-05,0,0,0,0,0,0.00173666707722626,0,0.00188446853060722,0.00026481093730755,0,0.00320852321714497,0,0,0,0,0,0.00133021308042862,0.149427269368149,0.000117009483926592,0,0.000628156176869072,0,0.0022108634068235,0.000277127725089297,0.000123167877817465,0,0,0.0385761793324301,0.0302007636408425,0.0005296218746151,0.0136901096194113,0,0.000240177361744057,0.00248183273802192,0,0,0.00415691587633945,0,0.0372521246458924,0.000973026234757975,0,0.00028328611898017,0,0,0,0.00998891489099643,0.00404606478630373,0,0.0304778913659318,0.0280699593546003,0,0,0.00102229338588496,0,0.000338711663998029,0,0,0,0.00266658455474812,0,0.000209385392289691,0.000960709446976229,0,0.000215543786180564,0,0.000468037935706368,5.54255450178593e-05,0,0,0,0,0,0,0,0.00112082768813893,0,0.00450178593422835,0,0.00030176130065279,0.005296218746151,0,0.0106232294617564,0,0.031050621997783,0.00506219977829782,0,0.00104692696144845
4,"div",0.000353626026875578,0,0.00145077344359212,0.00694557786119725,0.0018588034746024,0.230772718205393,0,0,0,0.00127849409716555,0.00116061875487369,0,0.0130297589902617,0,0,0.000471501369167437,0,0,0.0251618519123007,0.0167655006075114,0.000607511379504198,0,0,0.0037538762852946,0,0,0.00305569156556589,0,0,0,0.0230219610830024,0,0,0,0.00233937217779229,0,0,0.000226683350561268,0,0,0,0,0.0279999274613278,0,0,0,0,0.000398962696987832,2.72020020673522e-05,0.0501242224761076,0.00153237944979417,0.0300582122844241,0.00190414014471465,0.0050233030484377,0,0.00280180621293727,0.000190414014471465,0,0,0.00569428576609905,0,0,0,0,0.0353898046896252,0,0,0,0,0,0,0.0134196543532271,0.00518651506084181,0.00613858513319914,0.000661915383638902,0,0,0.0229312877427779,0,0.000136010010336761,0.00012694267631431,0,0,0,0,0,0,0.0031826342418802,0,0,0.00593910378470522,0,0,0,0.000299222022740874,0,0.00206735215711876,0.11125618845547,0,0.000326424024808226,0.0018588034746024,0,0.00296501822534139,0.000534972707324592,0,0,0,0.0411656964619263,0.0281087354695972,0.00113341675280634,0.0208730029196816,0,0.000398962696987832,0.00334584625428432,0,0,0.00514117839072956,0,0.0909272255771358,0.000816060062020565,0,0.000290154688718423,0,0,0.0044339263369784,0.00644687448996246,0,0,0.0499066064595688,0.0145530711060334,0,0,0.000661915383638902,0,0.000525905373302142,0.000281087354695972,0,0,0.00364506827702519,0.00359066427289048,0,0,0,0.000417097365032733,0,0,0,0,0,0,0,0.000852329398110368,0,0.000117875342291859,0,0,0.00565801643000925,0,0.000716319387773607,0.0025025841901964,0,0.00706345320348911,0,0.0304753096494569,0.00456993634731516,0,0.000952070072357325
10,"tri",0,0,0.0036200495049505,0.00441419141914191,0,0.181177805280528,0,0.000422854785478548,0.000216584158415842,0.00225866336633663,0,0,0.0426773927392739,0,0,0,0,0,0.0196782178217822,0.0184405940594059,0.000763201320132013,0,0.00158828382838284,0.00645627062706271,0,0,0.00389851485148515,3.09405940594059e-05,0,6.18811881188119e-05,0.0323844884488449,0,0,0.00241336633663366,0.00292904290429043,0,0,0.000783828382838284,0.000268151815181518,0,0,0,0.0377887788778878,0,0,0,0,0.000340346534653465,0,0.0542491749174917,0.00748762376237624,0.0165635313531353,0.000897277227722772,0.00313531353135314,0,0.00420792079207921,0,0,0,0.0069513201320132,0,0,0.000123762376237624,0,0.0217718646864686,0,0,0,0,0,0.000144389438943894,0.0189459570957096,0.0141501650165017,0.0156971947194719,0,0,0,0.0087046204620462,0,0,0,0,0,0,0,0.000639438943894389,0,0.00396039603960396,0,0,0.00561056105610561,0.00228960396039604,0,0,0.00081476897689769,0,0.00323844884488449,0.155517739273927,0,0,0.00241336633663366,0.000278465346534653,0.00555899339933993,0.00050536303630363,0,0,0,0.0577867161716172,0.0129022277227723,0.00166047854785479,0.0286200495049505,0,0.000391914191419142,0.00703382838283828,0.00308374587458746,0,0.0024236798679868,0,0.0724009900990099,0.00233085808580858,0,0,0,0,0,0.00764232673267327,0.00496080858085809,0,0.0222462871287129,0.0182858910891089,0,0,0,0,0.00234117161716172,0,0,0,0.000897277227722772,0,0,0.000556930693069307,0.000670379537953795,0,0.000598184818481848,0,0,0,0,0,0,0.000433168316831683,0,0,0,0,0.00478547854785479,0,0.000453795379537954,0.00536303630363036,0,0.00691006600660066,0,0.0100041254125413,0.00663160066006601,0,0.00211427392739274
13,"hexa",0,0,0.000273301205258315,0.0117792819466334,0,0.256566061456331,0,0,0,0,0.00110231486120854,0,0.0159972305477867,0,0,0,0,0,0.0204975903943736,0.0102305751168363,0,5.4660241051663e-05,0.00107498474068271,0.00817170603722362,0,0,0.00299720321766619,7.28803214022174e-05,0,0,0.0151955470123623,0,0,0,0,0,0,0,0.000528382330166076,0,0,0,0.0675327278193297,0,0.000728803214022174,0,0,0.00041906184806275,0.00012754056245388,0.0586959888493108,0.00246882088750011,0.0350554345944666,0,0.0039901975967714,0,0.00261458153030455,0.000674142972970511,0,0,0.00803505543459447,0.000737913254197451,0.0043090490029061,0.000191310843680821,0.00119341526296131,0.0168171341635617,0,0,0,0,0,0,0.00496497189552606,0.00318851406134701,0.0110322586522607,0,0,0,0.0146398345616704,0,0,0,0.000446391968588581,0,0,0,0,0,0.00282411245433592,0.000163980723154989,0,0.00568466506937296,0,0,0,0,0,0.00240505060627317,0.101658938315918,0,0.000145760642804435,0.00112964498173437,0,0.00185844819575654,0.000318851406134701,0.000337071486485255,0,0,0.0408949703468192,0.0285599759494939,0.000801683535424391,0.0187211325601946,0,0.000327961446309978,0.00331605462380089,0,0,0.00415417831992639,0,0.0544780402481575,0.000783463455073837,0,0.000227751004381929,0,0,0,0.0114331004199729,0.00537492370341353,0,0.042826298863978,0.0196503566580729,0,0.000255081124907761,0.00183111807523071,0,0,0.000391731727536918,0,0,0.00429082892255555,0,0,0.000537492370341353,0,0,0,0,0,0,0,0,0,0.000182200803505543,0,0,0,0,0.00414506827975111,0,0,0.00383532691379169,0.00012754056245388,0.00987528355000046,0,0.0340351100948355,0.0059852963951571,0.000373511647186364,0.00365312611028615
16,"tri",0.00106488811668932,0,0.000490409001106923,0.00858215751937116,0,0.20846586052768,0,0.000581484958455352,0,0.00119099328840253,0.00330675783603525,7.00584287295605e-05,0.00975213327915482,0,0.000308257086410066,0,0.000343286300774846,0,0.0250458882708179,0.0210665695189788,0,0,0.00100183553083271,0.00305454749260884,0,0,0.00254312096288304,9.10759573484286e-05,0,0,0.0121341198559599,0,0,0,0,0,0,7.70642716025165e-05,0.00173044318962014,0,0,0,0.0391416441312054,0,0,0,0,0.000203169443315725,0,0.0438916055990696,0.000686572601549692,0.0213748266053889,0.00107889980243523,0.00844204066191204,0.000140116857459121,0.00213678207625159,0.000413344729504407,0,0,0.0093878294497611,0,0,0,0.000595496644201264,0.0382659137720859,0,0,0,0,0,6.30525858566044e-05,0.0118398744552957,0.00292143647802267,0.005737785312951,0,0,0,0.0207443007468229,0,6.30525858566044e-05,0.000889742044865418,0.000665555072930824,0,0,0,0.000546455744090572,0,0.00263419692023147,0,0,0.00317364682144909,0,0,0,0,0.000105087643094341,0.0016253555465258,0.0725384971065869,0,0,0.00253611512001009,0,0.00268323782034217,0.000385321358012583,4.90409001106923e-05,0,0,0.0298238731101739,0.0273928456332581,0.00218582297636229,0.0241351286973336,0,0,0,0,0,0.00891843797727305,0.000392327200885539,0.107868962714904,0.0014502094747019,0,0.000245204500553462,0,9.80818002213846e-05,0,0.0054995866552705,0.00222785803360002,0,0.0810646078829744,0.026461068531155,0,0,0.00186355420420631,0,0.000525438215471703,0,0,0,0.00743319928820636,0,0,0,0,0,0,0.000651543387184912,0,0,0,0,0,0.000686572601549692,0,0,0.000819683616135857,0.00248006837702644,0.00453978618167552,0,0.00086872451624655,0.00240300410542392,0,0.0101234429514215,0.000189157757569813,0.0463646681332231,0.00494612506830697,0,0.00248006837702644
19,"tri",6.89198875227436e-05,0,0.000344599437613718,0.0151348072999945,0,0.206222087445553,0,0,0,0.000827038650272923,0.0016127253680322,6.89198875227436e-05,0.0116474609913437,0,0.000192975685063682,0,0.00074433478524563,0,0.026175773281138,0.00971770414070684,0.000937310470309312,0,0,0.00431438495892375,0,0,0.00188840491812317,0,0,0.000179191707559133,0.0090836411754976,0,0,0.000551359100181949,0,0,0,0,0,0,0,0,0.0599603021447869,0,0,8.27038650272923e-05,0,0.000441087280145559,0,0.0799746374813916,0.00234327617577328,0.025045487125765,0,0.00682306886475161,0,0.00115785411038209,0,0,0,0.0120747642939847,0,0,0,0,0.0212824612670232,0,0,0,0,0,0,0.0200556872691184,0.00303247505100072,0.00595467828196504,0.000137839775045487,0,0,0.0100347356233115,0,0,0,0,0,0,0,0,0,0.000978662402822959,6.89198875227436e-05,0,0.00461763246402382,0.00103379831284115,0,0,0,0,0.00281193141092794,0.0886034073992391,0,0.000385951370127364,0.00151623752550036,0.000151623752550036,0.00384572972376909,0.000441087280145559,5.51359100181949e-05,0,0,0.039463527595523,0.0437503445994376,0.000868390582786569,0.0269476760213927,0,0,0.00275679550090974,0,0,0.00399735347631913,0,0.0575481060814909,0.000275679550090974,0,0,0,0,0,0.0120058444064619,0.00558251088934223,0,0.0913464189226443,0.00387329767877819,0,0,0.00226057231074599,0,0,0,0,0,0.00474168826156476,0,0,0.0010475822903457,0,0,0,0.000482439212659205,0,0,0,0,0,0,0,0,0,0,0.00170921321056404,0,6.89198875227436e-05,0.00290841925345978,0,0.0133704581794123,0,0.0365964602745768,0.00507250372167393,0,0.000702982852731984
25,"mono",0,0.000422999915400017,0.000422999915400017,0.0147391970521606,0.00166379966724007,0.212543357491328,0,0.000610999877800024,0,0,0.00331819933636013,0,0.0100203979959204,0,0,0,0.000187999962400008,0,0.0187623962475208,0.0200501959899608,0,0,0.00105279978944004,0.00534859893028021,0,0,0.00163559967288007,0,0,0,0.00789599842080032,0,0,0,0.0024251995149601,0,0,0,0,0,0,0,0.0513615897276821,0,0,9.39999812000038e-05,0,0,0,0.0822405835518833,0.0025943994811201,0.0280495943900811,0,0.00529219894156021,0.000272599945480011,0.00172019965596007,0,0,0,0.0159893968021206,0,0,0,0.000319599936080013,0.0187059962588007,0,0,0,0,0,0,0.0307755938448812,0.0026037994792401,0.00516999896600021,0,0,0,0.0074541985091603,0,0,0,0,0,0,0,0,0.000206799958640008,0.00123139975372005,0,0,0.00452139909572018,0.00098699980260004,0,0,0,0,0.00191759961648008,0.0843649831270034,0.000300799939840012,8.45999830800034e-05,0.000845999830800034,0,0.00225599954880009,0.000281999943600011,0.000234999953000009,8.45999830800034e-05,0,0.0298167940366412,0.0531287893742421,0.000864799827040035,0.0225599954880009,0,0.00024439995112001,0.00328059934388013,0,0,0.00358139928372014,0,0.0517093896581221,0.000610999877800024,0,0.000234999953000009,0.000451199909760018,0,0,0.0138085972382806,0.0049349990130002,0,0.0797119840576032,0.0111859977628004,0,0,0.00181419963716007,0,0,0,0,0,0.00384459923108015,9.39999812000038e-05,0,0.000704999859000028,0,0,0,0,0,0,0,0,0,0.000375999924800015,0,0,0,0,0.00273539945292011,0,0.000225599954880009,0.00349679930064014,0,0.0115619976876005,0,0.0417077916584417,0.00486919902616019,0,0.00138179972364006
28,"mono",0.000408877393834509,0.00106498297928988,0.000922351330277846,0.00948025027100013,0.00244375558640625,0.176311735732081,0,0,0,0,0.0048780023962117,0.000751193351463401,0.00995568910104026,0,0,0,0,0,0.038092159062815,0.00909989920696803,0.000741684574862598,0,0.00204438696917255,0.0037464579807162,7.60702128064203e-05,0,0.00332807181028089,0,0,0.00296673829945039,0.0305421904417778,0,0,0.000998421543084267,0,0,0.000446912500237719,0.000475438830040127,0.00067512313865698,0,0,0,0.0678356122701253,0,0.00214898351178137,0.000465930053439325,0,0.000551509042846547,0,0.0479432516212464,0.00350873856569614,0.0175912367114847,0.00431698457676435,0.00623775745012647,0.00052298271304414,0.0033661069166841,0.000190175532016051,0,0,0.00882414468554476,0.0011125268622939,0,0,0.000627579255652968,0.0438449689063005,0,0,0,0,0,0,0.00309986117186163,0.00474487952380047,0.00775916170625487,0.000142631649012038,0,0,0.0191316585208147,0,0,0.000209193085217656,0.000294772074624879,0,0,0,0.00178765000095088,0,0.00614266968411844,0,0,0.00718863511020672,0,0,0,0.000456421276838522,0.000285263298024076,0,0.0963143981895289,0,0,0.000798737234467413,5.70526596048152e-05,0.000684631915257783,0.000380351064032102,0,0,0,0.0368179829983074,0.0438544776829013,0.000475438830040127,0.00881463590894396,0,0.000304280851225681,0.00444059867257479,0.00136926383051557,0,0.00819656542989179,0.000152140425612841,0.078780214137649,0.00179715877755168,0,0,0.000608561702451363,0.000342315957628891,0,0.00916646064317365,0.00107449175589069,0,0.0719624213148736,0.00253884335241428,0.00052298271304414,0,0.000275754521423274,0,0,0.000418386170435312,0,0,0.00454519521518361,0,0,0.000827263564269821,0,0,0,0.000817754787669019,4.75438830040127e-05,0,0,0.000285263298024076,0,0.000332807181028089,0,0,0,0,0.00741684574862598,0,0,0.00719814388680752,0,0.0154517619763041,0,0.0202441853831086,0.0112488827187494,0,0.00165452712853964
34,"mono",0.000511525652467295,0.000740079667399491,0.000946866633290525,0.00768376831153001,0.00072919614287891,0.16060817135021,0,0,0,0,0.0061600748786487,0.00129513941794911,0.0106549705056485,0,0.00014148581876755,0,0,9.79517206852267e-05,0.0326179229881805,0.0107855727998955,0.000750963191920071,0,0.00138220761411375,0.00353714546918874,0,0,0.00409220521973836,8.7068196164646e-05,0,0.00325417383165364,0.0327702923314686,0,0,0.00088156548616704,0.00205698613438976,0,0.000380923358220326,0.000500642127946714,0.0014692758102784,0,0,0,0.0595219956030561,0,0.00228554014932196,0.000794497290002394,0,0.000805380814522975,0,0.05978320019155,0.00485405193617901,0.0209181341285562,0.00581180209399012,0.00793408937550336,0.000272088113014519,0.00503907185302888,0.000282971637535099,0,0,0.00755316601728304,0,0,0,0.000500642127946714,0.0444918482401341,0,0,0.000239437539452776,0,0,0,0.00359156309179165,0.00470168259289088,0.00705252388933632,0.00137132408959317,0,0,0.0215493785507499,0,0,0.000304738686576261,0.000250321063973357,0,0,0,0.00206786965891034,0,0.00662806643303367,0,0,0.00634509479549857,0,0,0,0.000489758603426133,0.000478875078905553,0,0.0769138677869441,0,0,0.000859798437125879,0,0.000511525652467295,0.000500642127946714,0,0,0,0.0404105265449163,0.0489214427200104,0.000718312618358329,0.00778172003221523,0,0,0.00233995777192486,0,0,0.00843473150345008,0.000195903441370453,0.0822576783265493,0.00212228728151325,0,0.000272088113014519,0.000935983108769944,0.000500642127946714,0,0.00957750157811106,0.00598593848631941,0,0.0681308634988355,0.0012407217953462,0.000380923358220326,0,0.00261204588493938,0,0,0.000544176226029037,8.7068196164646e-05,3.26505735617422e-05,0.00467991554384972,5.44176226029037e-05,0,0.000859798437125879,0,0.000326505735617422,0,0.000935983108769944,0,0,0,0,0,0.000522409176987876,0,0.00029385516205568,0,0,0.00797762347358569,0,0,0.0082497115866002,0,0.0198515487255393,0,0.0201562874121155,0.0118086241048301,0,0.00195903441370453
37,"hexa",0,0.000614749059433939,0.00114753157761002,0.00798354111851542,0.00131966131425152,0.15363808493373,0,0,0,0.000762288833698084,0.00227866984696847,6.55732330062868e-05,0.00744256194621356,0.000975401840968517,0,0,0.00019671969901886,0,0.0196637732477603,0.00749993852509406,0.000499995901672937,0,0.00113933492348423,0.00247538954598733,3.27866165031434e-05,0,0.00134425127662888,2.45899623773576e-05,0,3.27866165031434e-05,0.0157867558462636,0,0.000598355751182367,0.00227866984696847,0.00112294161523266,0,0,0.00047540593929558,0.000557372480553438,0.000786878796075442,0,0,0.0764665863394562,0,0,0.000360652781534578,0,0.000467209285169794,0,0.0750567618298211,0.00508192555798723,0.0149834837419365,0.00290981221465398,0.0051556954451193,0.000147539774264145,0.00308194195129548,0,0,0,0.0121392447602888,0,0,1.63933082515717e-05,0.000459012631044008,0.0248194686928796,0.000377046089786149,0,0,0,0,9.01631953836444e-05,0.00584421439168531,0.00786059130662863,0.00567208465504381,0.00122949811886788,0,0,0.0220489995983639,0,0,0.000352456127408792,0.000286882894402505,0,0,0.000647535675937082,0.000713108908943369,0,0.0027212891697609,0,0,0.00669666642076704,0,0,0.000631142367685511,0.000598355751182367,7.37698871320727e-05,0.0019098204113081,0.121851460233933,0,0,0.00117212153998738,0.000106556503635216,0.000803272104327014,0.000557372480553438,0,0,9.01631953836444e-05,0.0398767223219482,0.040114425291596,0.000278686240276719,0.00936057901164745,0,0.000606552405308153,0.00326226834206277,0,0,0.00470487946820108,0,0.0627863706035196,0.000991795149220088,0,0,0.000704912254817584,0,0,0.010065491266465,0.00540159506889288,0,0.109826968631405,0.00967205186842731,0,0,0.00447537315267908,0,0,0,0,0,0.00474586273883001,0,0,0.000934418570339587,0.000655732330062868,0,0.000213113007270432,0,0,0,4.09832706289293e-05,0,0,0.000549175826427652,0,0.00019671969901886,0,0,0.00316390849255334,0,0,0.00487700920484258,0.000131146466012574,0.0213113007270432,0,0.0161474086277981,0.00947533216940845,0,0.00120490815649052
40,"mono",0,0,0.000602196980708931,0.00757937579168138,0.0026891210000623,0.209086944784766,0,0.000197271424714995,0,0,0.00171314658305127,0.000176506011587101,0.00725751188819902,0,0,0,0,0,0.0197167597649355,0.00609464875303694,0.000186888718151048,0,0.00262682476067861,0.0032186390348236,0,0,0.000986357123574974,0,0,0,0.0233714724754449,0,0,0,0,0,0,0,0.00106941877608655,0,0,0,0.0677160122100629,0,0,0.000280333077226571,0,0,0,0.0491309674605976,0.00253338040160309,0.0349481902942459,0.00208692401935337,0.00665531490749008,0,0.00296945407728887,0,0,0,0.00768320285732085,0,0,0,0.000332246610046307,0.0225097078306373,0,0,0,0,0,0,0,0.0035508856448699,0.0055132171854559,0.000155740598459206,0,0,0.0203604875719002,0,0.000114209772203418,0.000228419544406836,0.000342629316610254,0,0,0,0,0,0.00557551342483959,0,0,0.0069667961044085,0,0.000207654131278942,0,0.000332246610046307,0.000207654131278942,0,0.0916273854268331,0,0,0.000706024046348402,0,0,0.00024918495753473,0,0,0,0.0451855389662977,0.0270573333056461,0.000259567664098677,0.003924663081172,0,0.000207654131278942,0.00334323151359096,0,0,0.00613617957929273,0,0.122806653238366,0.00113171501547023,0,0,0,0,0,0.00975974417011027,0.00664493220092614,0,0.0723570820441473,0.0188653778266919,0,0,0.00281371347882966,0,0,0.000508752621633407,0,0,0.00499408185725855,0,0,0.00102788794983076,0,0,0,0.0012563074942376,0,0,0,0,0,0.000664493220092614,0,0,0,0,0.00559627883796748,0,0,0.00781817804265216,0.000259567664098677,0.01020620055236,0,0.0185123658035177,0.00859688103494819,0,0.000508752621633407
43,"mono",0,0,0.00105054509415263,0.00703666997026759,0.00293359762140733,0.154132804757185,0,0,0,0,0.00329038652130823,0,0.00917740336967294,0,0,0,0.000158572844400396,0,0.0226362735381566,0.0178592666005946,0.00106045589692765,0,0.00151635282457879,0.00226957383548067,0,0,0.00257680872150644,0,0,0,0.0247175421209118,0,0,0,0,0,5.94648166501487e-05,0,0.000465807730426165,0,0,0,0.0523587710604559,0,0,0.000475718533201189,0,0,0,0.0659365708622398,0.00295341922695738,0.0139544103072349,0.00325074331020813,0.00533201189296333,0.000237859266600595,0.0010009910802775,0.000376610505450942,0,0,0.00754212091179386,0.000773042616451933,0,0,0.000495540138751239,0.038404360753221,0,0,0,0,0,0,0.0118632309217047,0.00707631318136769,0.00529236868186323,0,0,0,0.0296927651139742,0,0.000277502477700694,0.000713577799801784,0.000237859266600595,0,0,0,0.00043607532210109,0,0.00414271555996036,0,0,0.00437066402378593,0,0,0.00132804757185332,0.00101090188305253,0.000218037661050545,0.00185332011892963,0.073994053518335,0,0,0.00163528245787909,0,0.00134786917740337,0.000723488602576809,0,0,0,0.0383349851337958,0.0317839444995045,0.00169474727452924,0.0154410307234886,0,0.000465807730426165,0.00252725470763132,0,0,0.00973240832507433,0,0.0980971258671952,0,0,0,0,0.000327056491575818,0,0.0087611496531219,0.00554013875123885,0,0.103191278493558,0.0165510406342914,0.00022794846382557,0,0.00272547076313181,0,0,0,0,0,0.00623389494549058,0,0,0.000644202180376611,0.000247770069375619,0.000743310208126858,0,0,0,0,0,0,0,0,0,0.000128840436075322,0,0,0.00580773042616452,0,0.000317145688800793,0.0045193260654113,0,0.0191575817641229,0,0.0252923686818632,0.0101288404360753,0,0.00112983151635282
